zip,Zillow_Home_Value_Index,Median_Single_Family,Median_Condo,Median_2bd,Median_3bd,Median_4bd,Median_PerSqFt,State
33405,149200,148900,176100,159100,214400,553400,203,Florida
33406,130700,166400,80900,80400,152300,251500,105,Florida
33407,104700,104100,104800,102400,134500,193200,107,Florida
33408,249100,382200,198100,197600,358100,485900,195,Florida
33409,101500,134300,80200,84300,203900,195100,94,Florida
33410,268400,309100,169900,162000,309600,287400,184,Florida
33411,199100,246000,79300,78100,203700,299800,118,Florida
33412,293600,298700,176100,230700,166500,346700,147,Florida
33413,191900,200300,135700,126700,193400,236400,113,Florida
33414,292500,315900,163700,163500,240700,331800,155,Florida
33415,75100,125900,62000,64800,105100,178800,73,Florida
33417,48700,134500,36800,51300,123700,279500,52,Florida
33418,318100,439500,167400,163700,304800,495700,178,Florida
33426,129700,138800,104300,112000,169300,193300,104,Florida
33428,200200,172100,91700,89300,215600,279500,142,Florida
33430,92100,92100,176100,132000,109700,279500,77,Florida
33431,292900,328400,240100,211000,320800,500300,228,Florida
33432,417100,594300,332600,288500,731500,1409400,367,Florida
33433,224300,344300,161200,143200,248700,372000,149,Florida
33434,97000,353700,56000,56300,295500,467600,97,Florida
33435,88900,113800,71600,79000,156800,372400,150,Florida
33436,179700,239200,111400,106000,208300,286600,111,Florida
33437,230400,279900,147100,131300,234300,308600,131,Florida
33438,172300,172100,176100,132000,166500,279500,58,Florida
33440,74000,72600,75400,54900,73000,116400,76,Florida
33441,170500,204100,104500,179300,225400,185300,160,Florida
33442,74600,232900,51400,73600,245400,298800,94,Florida
33444,152200,197200,142700,145300,224800,285600,217,Florida
33445,105000,272800,71400,72800,238200,340200,114,Florida
33446,116000,383400,65900,76200,292800,542600,124,Florida
33449,391000,401400,176100,132000,166500,421800,152,Florida
33455,233500,242200,88900,136500,275500,458600,169,Florida
33458,248400,352000,157000,131000,263300,477000,181,Florida
33460,103900,117600,53100,74100,125200,183700,118,Florida
33461,82500,127700,48000,61100,120800,155700,71,Florida
33462,137900,140300,135200,121300,158800,269100,137,Florida
33463,118500,155600,68400,63500,146800,240400,103,Florida
33467,205700,288700,59300,59400,229000,318000,117,Florida
33469,279400,351400,149200,144100,325900,527300,187,Florida
33470,172300,172100,176100,132000,166500,279500,136,Florida
33471,172300,172100,176100,132000,166500,279500,82,Florida
33472,241400,266600,145500,144700,236600,309700,135,Florida
33473,461000,461000,176100,444900,498500,365100,169,Florida
33476,78400,79300,176100,132000,166500,279500,43,Florida
33477,317500,604500,261600,247000,421900,1324700,244,Florida
33478,172300,172100,176100,132000,166500,279500,181,Florida
33480,586600,3282000,338200,347900,1100700,2528400,329,Florida
33483,407000,872800,343100,291500,555500,1363400,321,Florida
33484,82900,210000,73000,73000,190500,331200,93,Florida
33486,321900,380200,162500,144700,288000,473200,209,Florida
33487,333100,380900,298600,289400,380100,436400,247,Florida
33493,80400,80400,176100,132000,166500,279500,119,Florida
33496,305300,568800,165500,121700,254900,591300,187,Florida
33498,172300,389700,176100,132000,166500,279500,163,Florida
33510,138800,146700,69100,80900,136600,195700,89,Florida
33511,159900,169300,81300,82400,149900,198700,100,Florida
33513,121100,121100,176100,132000,130100,279500,80,Florida
33514,172300,172100,176100,132000,166500,279500,109,Florida
33523,80500,80500,176100,67100,106800,191000,85,Florida
33525,136700,138500,176100,65000,157200,336100,96,Florida
33527,196000,196000,176100,92800,179100,270600,101,Florida
33534,141900,152600,67200,132000,139200,165700,81,Florida
33538,108700,108700,176100,132000,166500,279500,82,Florida
33540,109100,109200,176100,132000,117500,279500,78,Florida
33541,129300,137600,176100,59800,122000,194100,87,Florida
33542,74900,79900,40200,65300,89400,279500,63,Florida
33543,173600,177700,176100,106100,160400,201200,103,Florida
33544,208000,208300,176100,132000,169800,242300,109,Florida
33545,151000,151000,176100,132000,135900,167200,96,Florida
33547,267100,305400,152900,109400,200200,336800,124,Florida
33548,290600,290600,176100,158600,247500,327100,132,Florida
33549,198000,203000,127400,133900,164800,296200,107,Florida
33556,340400,348600,88500,182500,297400,385100,145,Florida
33558,287700,305300,88100,110600,243100,357900,119,Florida
33559,161000,165400,81600,132000,155700,200300,103,Florida
33563,86900,89300,63500,64400,100900,153000,63,Florida
33565,204200,204200,176100,111600,204000,270400,69,Florida
33566,169000,172400,125400,89100,161200,244900,92,Florida
33567,172700,172700,176100,99800,166200,216800,95,Florida
33569,188900,192700,176100,95200,162300,214600,92,Florida
33570,148200,154100,86100,126000,143800,174400,92,Florida
33572,218600,255900,156600,122600,210700,362600,120,Florida
33573,126000,154100,91900,104300,166200,171900,86,Florida
33576,136500,136700,176100,107600,151300,279500,101,Florida
33578,143900,173500,85800,91300,144700,189200,95,Florida
33579,177900,183800,88200,88400,150000,197800,90,Florida
33584,142100,143900,77300,96000,135600,189700,89,Florida
33585,172300,172100,176100,132000,166500,279500,104,Florida
33592,182600,208200,42100,76300,183400,271300,103,Florida
33594,165800,170900,87000,92600,147600,221000,94,Florida
33596,239000,243000,72700,88600,181800,265500,109,Florida
33597,95900,95900,176100,74500,119200,279500,92,Florida
33598,197600,200200,176100,185500,194700,208300,134,Florida
33602,216800,138300,231300,223400,290200,379000,217,Florida
33603,123300,123300,176100,105100,142600,172900,86,Florida
